,,,,,,,,,,,
Antonia Escalona,,,,3,,,3,6,,,12
Yuriana Ávila,,,,11,,,,,,,11
Yipsy Ojeda,,3,1,7,,,,,,,11
Yeimy Lazo,,,2,5,4,,,,,,11
Valentina Núñez,,,3,2,4,,2,,,,11
Paola Villamizar,,,,,,8,3,,,,11
Nicol Fabres,,,,10,1,,,,,,11
Jazmín Torrealba,,4,7,,,,,,,,11
Javiera Toro,,,4,5,1,1,,,,,11
Carolina Tapia,,,2,3,,,5,1,,,11
Tamara Becerra,,,10,,,,,,,,10
Sandra Burgos,7,3,,,,,,,,,10
Nicole Mariñelarena,,6,,,4,,,,,,10
Millaray Cortés,,,,,,,,1,4,5,10
Leydy Reyes,,,,8,2,,,,,,10
Javiera Garrido,,,5,3,2,,,,,,10
Francisca Olmos,,,,3,4,,3,,,,10
Estefany Leiva,7,,,3,,,,,,,10
Daniela Muñoz,2,1,,1,1,,,4,1,,10
Catalina Rodríguez,,,,10,,,,,,,10
Carolina Márquez,,4,1,3,2,,,,,,10
Andrea Gamboa,,4,2,,,,,4,,,10
Rocío Díaz,,,,,,,,9,,,9
Nataly Vega,,1,,6,2,,,,,,9
María Isabel Rebolledo,,,9,,,,,,,,9
Loreto Rojas,2,1,,,6,,,,,,9
Llanka Groff,,,,,2,,1,2,4,,9
Javiera González,1,1,,,2,,3,1,1,,9
Daniela Villegas,1,3,3,,2,,,,,,9
Constanza Werner,,,1,8,,,,,,,9
Constanza Villanueva,,,1,2,6,,,,,,9
Camila Silva,,,,3,,1,2,3,,,9
Andrea Riquelme,,,,7,,,2,,,,9
Ámbar Figueroa,,,,,,,,,9,,9
Yessenia Carrasco,,,1,7,,,,,,,8
Paola Solar,,,,4,2,,,2,,,8
Melissa Espina,,,,,,,6,2,,,8
Marina Cano,3,,,2,1,,,1,1,,8
Mariana García,,,1,5,2,,,,,,8
Macarena Ávila,,1,,4,1,,1,,1,,8
Jeannette Tobar,8,,,,,,,,,,8
Jeannette Aguirre,6,2,,,,,,,,,8
Javiera Merino,,,,,,,3,2,3,,8
Ignacia Zúñiga,,,,,,,1,5,2,,8
Fabiana Vallejos,,,,,,,,2,,6,8
Cynthia Aguilar,,8,,,,,,,,,8
Catalina Fuentes,,,,2,4,1,1,,,,8
Carol Negrón,2,,2,1,3,,,,,,8
Carla Bascur,1,2,2,3,,,,,,,8
Camila Arriagada,,,,,,,1,1,2,4,8
Ángela Madriaga,,,,,,,2,,6,,8
Anabel Guzmán,,,,,2,,4,1,1,,8
Ámbar Soruco,,,1,,,,4,3,,,8
Aida Castillo,2,2,,,,1,,1,2,,8
Yael Oviedo,,,,,,,7,,,,7
Tatiana Ariza,,,,,,,,,7,,7
Tali Rovner,,,,,,,,4,3,,7
Scarleth Díaz,,,,2,,,,,5,,7
Nicole Sanhueza,4,3,,,,,,,,,7
Marcela Pérez,,1,,,,,2,4,,,7
Marcela Catrilaf,,,1,6,,,,,,,7
Maitte Tapia,,,,,,,,7,,,7
Leslie Olivares,,,,,7,,,,,,7
Krishna Cabrera,,,,,2,,2,3,,,7
Karla Torres,,,,7,,,,,,,7
Karen Fuentes,,,,,,,2,3,2,,7
Javiera Torres,,,,,4,,2,1,,,7
Francisca Seura,,,,,4,,2,,1,,7
Fernanda Ramírez,,,1,4,,,2,,,,7
Fernanda Geroldi,,,2,5,,,,,,,7
Fabiola Álvarez,,,7,,,,,,,,7
Elisa Durán,,,,3,1,,1,1,1,,7
Danitza Morales,3,4,,,,,,,,,7
Dania Raicahuin,,,1,,6,,,,,,7
Constanza Santander,,,,,,,1,2,4,,7
Cathalina Farías,,,,7,,,,,,,7
Catalina López,,,1,2,4,,,,,,7
Carolina Verdugo,,,,7,,,,,,,7
Camila Contreras,,,,4,3,,,,,,7
Belén Bustos,,,,,,,4,3,,,7
Arantxa Araneda,,,,,,,1,2,4,,7
Alexia Gallardo,,,,3,,,,2,2,,7
Waleska Campusano,,,,,,,,,6,,6
Valeska Arias,,,,,6,,,,,,6
Sthefany Puebla,,,,,6,,,,,,6
Patricia Fierro,,5,1,,,,,,,,6
Paloma López,5,,1,,,,,,,,6
Paloma Bustamante,,,,,,,,,,6,6
Nicole Carter,,,,,,,,,6,,6
Natsumy Millones,,,,,,,,,6,,6
Michelle Olivares,,,,,2,,2,2,,,6
María Julio,,,,5,,,1,,,,6
María José Rojas,,,,,6,,,,,,6
María González,,,,6,,,,,,,6
Kathya Ponce,,,6,,,,,,,,6
Katherine Cubillos,,,,,,,,2,4,,6
Juanita Peña,1,,,4,1,,,,,,6
Jhoagny Contreras,,,,,,,,6,,,6
Gabriela Barrientos,,3,,3,,,,,,,6
Gabriela Aguayo,,,,3,3,,,,,,6
Francisca Araya,,,1,,2,,1,2,,,6
Franchesca Caniguán,,,,,,,,,6,,6
Fernanda Villarroel,,,,6,,,,,,,6
Estefany Flores,,,,6,,,,,,,6
Daniela Aguirre,,,,6,,,,,,,6
Constanza Moya,6,,,,,,,,,,6
Bárbara Hurtado,1,5,,,,,,,,,6
Andrea Bustos,,,,,,,,6,,,6
Ana Mansilla,,,,6,,,,,,,6
Yessi Valenzuela,,5,,,,,,,,,5
Priscila Ellena,,,,,,,,,5,,5
Pía Morales,,,,5,,,,,,,5
Nydia Morales,,,,5,,,,,,,5
